id;tipo;desc;coord x;coord y
0;PAREDE;SUÍTE REVERS.; 4.46, 4.46, 1.12, 1.12, 3.76, 3.76,; 14.51, 13.61, 13.61, 16.60, 16.60, 14.51,;
1;PAREDE;CIRC.; 4.56, 5.46, 5.46, 4.56,; 14.51, 14.51, 13.61, 13.61,;
2;PAREDE;CIRC.; 8.72, 10.22, 10.22, 8.72,; 14.73, 14.73, 13.23, 13.23,;
3;PAREDE;A.S.; 8.72, 10.22, 10.22, 8.72,; 9.58, 9.58, 13.23, 13.23,;
4;PAREDE;CIRC.; 4.56, 5.46, 5.46, 4.56,; 13.51, 13.51, 11.12, 11.12,;
5;PAREDE;SUÍTE; 8.62, 5.56, 5.56, 8.62,; 15.00, 15.00, 11.22, 11.22,;
6;PAREDE;BANHO; 3.86, 5.46, 5.46, 3.86,; 16.60, 16.60, 14.61, 14.61,;
7;PAREDE;QUARTO; 1.12, 4.46, 4.46, 1.12,; 13.51, 13.51, 11.11, 11.11,;
